-----,기본,서울숲맛집,https://m.place.naver.com/restaurant/1248174679,오후,,2024-06-21 17:13:11,"40,000+","39,000+","38,000+","36,000+","35,000+","34,000+","33,000+","32,000+","32,000+","31,000+","31,000+","31,000+","31,000+","31,000+","31,000+","30,000+","30,000+","29,000+","28,000+","27,000+","27,000+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 1,135개","블 1,120개","블 1,104개","블 1,085개","블 1,091개","블 1,082개","블 1,065개","블 1,043개","블 1,031개",블 998개,블 992개,블 978개,블 964개,블 956개,블 942개,블 928개,블 915개,블 883개,블 835개,블 812개,블 812개,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 1,074개","방 1,048개","방 1,047개","방 1,027개","방 1,018개","방 1,007개","방 1,000개",방 988개,방 978개,방 960개,방 950개,방 928개,방 923개,방 907개,방 902개,방 895개,방 891개,방 878개,방 863개,방 846개,방 832개,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,06-24,06-21,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,성수카페,https://m.place.naver.com/restaurant/343496704/home?entry=pll,체다앤올리,,2024-06-21 17:11:24,"43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","43,000+","42,000+","42,000+","42,000+","42,000+",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 2,239개","블 2,239개","블 2,238개","블 2,238개","블 2,240개","블 2,239개","블 2,239개","블 2,241개","블 2,241개","블 2,240개","블 2,241개","블 2,239개","블 2,237개","블 2,237개","블 2,236개","블 2,236개","블 2,220개","블 2,206개","블 2,174개","블 2,118개","블 2,094개",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 1,607개","방 1,606개","방 1,605개","방 1,606개","방 1,604개","방 1,603개","방 1,602개","방 1,600개","방 1,599개","방 1,597개","방 1,598개","방 1,597개","방 1,598개","방 1,598개","방 1,598개","방 1,597개","방 1,597개","방 1,594개","방 1,589개","방 1,590개","방 1,590개",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-05,08-01,07-29,07-25,07-22,07-18,07-15,07-08,07-01,06-24,06-21,,,,,,,,,,,,,,,,,,,,,,,
